,product_id,product_parent,product_title,vine,verified_purchase,review_headline,review_body,review_date,marketplace_id,product_category_id,label
12,B001UFQNF0,471378445,Retour vers le futur II DeLorean Mark 2 36 cm,N,Y,Vraiment bien.,Nous sommes très content d'avoir commandé cette delorean pour l'anniversaire de notre fils qui adore les voitures.En plus la livraison à était rapide ce qui fait qu'il la reçu le jour de ses 7 ans.Elle est vraiment bien faite et bien détaillée ont s'attendais à moins bien.Ont la recommande aussi aux autres enfants.,2011-01-14,2,2,True
20,B007SVEUK0,992326428,Marvel's The Avengers [Blu-ray],N,Y,súpér film,der film ist super und ich als marvel fan kann ihn nur weiter empfehlen<br />unbedingte kauf empfehlung<br />1 a FILM,2013-08-12,0,3,False
29,B0006GVKGG,653409458,The Notebook [DVD],N,Y,The Notebook,"After having watched \\""Message in a Bottle\\"" by the same auther many times, and loved it, i was very dissapointed in The notebook.",2010-09-13,1,3,False
38,B002JCSRES,701283921,Crocs Crocband Jaunt 10970 Damen Kurzschaft Gummistiefel,N,N,Tớllér Stiéfél !,"Die Gummistiefel von Crocs kann ich nur empfehlen.  Die Stiefel sind sehr leicht,  man hat also keinen \\""Klotz\\"" am Fuß und er sitzt bequem. Der Fuß rutscht nicht hin und her! Wir haben einen Hund,  d.h. längere Spaziergänge sind ein muß und mit dem Stiefel kein Problem.  Habe mir den Stiefel in 39/40 und 41/42 bestellt und den Größeren behalten. Ich selber habe Schuhgröße 41 .",2013-11-14,0,7,True
50,2070412393,648585293,Le rouge et le noir,N,Y,parfait,achat indispensable pour les &eacute;tudes de mon frere alors pas grand chose a dire dessus si ce n'est qu'il est a bon prix et expedi&eacute; rapidement,2014-12-13,0,0,False
51,B00B8SSWJE,491997969,Delta Machine (Deluxe Edition),N,Y,Top,Ist nátürlich immér Géschmáckssáché únd dás és définitiv nicht méhr DM áús dén 80érn gébén wird ist áúch klár. Ábér ich pérsönlich findé dié Schéibé wirklich hörbár. Fréú mich áúf dás Kớzért im Júli.<br /><br />Liéférúng wár wié immér tớp.,2013-03-27,0,6,True
59,B000OZ0NXA,208059136,"Killing Floor (Jack Reacher, Book 1)",N,Y,Very nice novel,I liked the small bits and pieces that were not directly related to the main story. Gave a nice ambience to the story.,2012-11-26,0,4,False
63,B00B8R1NP0,904953626,Time Killer (Max Larkin Detective Series Book 1) (English Edition),N,N,A completely absorbing murder story.,An action packed thriller. Fast paced and spell binding. A completely absorbing murder story. Great characters and an original twist on the crime thriller genre.,2013-10-15,2,4,False
74,B008OOYALE,205149289,Dragon Story,N,Y,I love this game it is so fun,Fun game good graphics amazing game love the idea of breading the best game I thought this game would be boring I was wrong I love the game,2014-11-20,1,1,False
77,B007NMN2US,398143533,LEGO Super Heroes: Batman Schlüsselanhänger,N,Y,toller Gag,"Kám súpér áls kléinés Ớstérgéschénk án, Bésớndérhéit: dér Mántél ist áús Stớff. Schádé núr, dáss és dén Bátmán nicht in vérschiédénén Áúsführúngén gibt (gánz in schwárz zúm béispiél....).",2013-04-09,0,2,True
