,product_id,product_parent,product_title,vine,verified_purchase,review_headline,review_body,review_date,marketplace_id,product_category_id,label
1,B00FAPF5U0,46324555,Candy Crush Saga,N,Y,brilliant but annoying,I took ages to sign up for this and finally succumbed. It is brilliant but very addictive so pleased that your lives run out otherwise I would be on it all day.,2013-11-13,1,1,False
4,0141319135,871827197,Percy Jackson and the Lightning Thief,N,N,,"Sadly I am still stuggling to get into this book, so it is probably unfair to give it only one star, but ......    It seems to me that this is the American version of Harry Potter; unfortunately Harry Potter is better in almost every respect. This book is definitely aimed at the 'American kid'. If you can cope with that, you will probably be fine. Good luck, but it's not for me.",2010-03-23,2,0,True
17,B000VUVGAM,62113606,Halloween Blu-ray 1978 Region Free,N,Y,Excellent version,"Ok, I've had this film on Betamax, VHS, DVD and now upgraded to Blu-Ray and it's worth it.  The picture is brilliant as is the audio.  The extras are ok, a retrospective documentary, a few tv spots and trailers, an audio commentary and a fun facts pop up trivia option.  Excellent copy of an excellent film.",2009-10-28,1,3,True
21,B00DE6NGOO,496520461,La Petite sirène [Pack Blu-ray+],N,Y,,Dvd et blu ray illisibles (dès reception ) quelque soit le lecteur.deception totale la prochaine fois je commanderai mes dvd dans une autre enseigne,2013-12-10,2,3,False
30,B00E0MCYPS,304179437,Pocket Rally,N,Y,finde ich gut,Mir géfällt dié Ángébớté mán kánn sớgár Schnäppchén máchén.<br />Dúrch dié Ángébớté hábé ich mir jédé méngé Géld géspárt.<br />Gébé és dié Ángébớté nicht würdé ich és mir zwéimál übérlégén.,2014-05-21,0,0,False
42,B000W01GK6,464329028,Long Road Out of Eden (Ltd. Deluxe Edition) + 2 Bonustracks und 40-seitigem Booklet,N,N,Séhr gútés Álbúm - és bráúcht Zéit...,"Selten habe ich ein neues Album mit solcher Spannung erwartet. Die Aufmachung im Buchstil ist sehr nobel.     Die meisten Songs gehen nicht sofort ins Ohr. Erst als ich das Album drei, viermal gehört habe, fallen die einzelnen Nuancen auf, die die Eagles von anderen Rockbands einfach unterscheiden. Stimmige Melodien, gute Texte und abwechslungsreiche Rhythmen. Und danach konnte ich das Album nicht mehr oft genug hören.     Das macht einfach den Unterschied zwischen den Eagles und einer 08/15 Rockband, die alle Songs im 3 Akkord Blues-Schema spielen wo sich alles gleich anhört.    Gut, man merkt auch die Eagles werden älter, die Titel insgesamt sind braver geworden aber die Qualität leidet darunter nicht. Gerade die Gesangsparts und der Backgroundgesang sind für eine Rockband einzigartig. So wie das schon bei allen ihren Alben war. Selbst Joe Walsh's eigenwillige Stimme passt perfekt zu seinen Songs.     Rein Soundtechnisch ist die Qualität hervorragend, wie man es von den Eagles erwartet. Gut abgemischt, man hört jedes Instrument, jede Stimme sauber heraus, nahezu perfekt.    Die Referenz für alle Tonmeister und Abmischer, die \\""Eagles Farewell One - live from Melbourne DVD\\"" erreicht die CD zwar tontechnisch nicht ganz, aber trotzdem: Alles in allem ein gelungenes Comeback -> sehr empfehlenswert !!",2008-01-13,0,6,True
52,B00C0K6NUY,702355901,Broken Angels (Katie Maguire Book 2),N,Y,Five Stars,Brilliant worthy of 5 star couldnt wait to read next page and couldnt put it down,2014-12-15,1,10,False
54,B006FOVZQS,706042866,Lioness: Hidden Treasures [Explicit],N,Y,hớhé Érwártúngén,"Amy Winehouse hat sensationelle Musik geschrieben und gesungen. Einige der Songs auf Hidden Treasures sind richtig schön, andere etwas gleichförmig. Plätschert dahin, keine richtigen Höhepunkte",2013-02-03,0,12,False
56,B00AQL8VU4,496201564,Amazon for Tablets,N,Y,Five Stars,Excellent,2014-10-26,1,1,False
57,B006U4SHMS,974513179,"Enesco 4029715 Gund Plüsch BOO Worlds Cutest Dog, 23 cm",N,Y,Erwartungen &uuml;bertroffen!,"Ich finde Zwergspitze einfach s&uuml;&szlig; und war schon l&auml;nger auf der Suche nach einem Pl&uuml;sch Exemplar. Leider ohne Erfolg. Dann fand ich diesen kleinen &#34;Pl&uuml;sch BOO&#34;. Zun&auml;chst war ich etwas skeptisch, da ich dachte er w&uuml;rde nur &#34;starr&#34; in dieser sitzenden Position als Paket kommen. ABER siehe da - die Beine des Pl&uuml;schtiers lassen ihn stehen, sitzen, liegen... ausserdem ist er kuschelig weich - einfach s&uuml;&szlig; und hat daher meine Erwartungen &uuml;bertroffen!",2015-02-06,0,2,True
