,product_id,product_parent,product_title,vine,verified_purchase,review_headline,review_body,review_date,marketplace_id,product_category_id,label
9,B001N2MZT8,903886718,Green Zone [DVD],N,Y,green zone,"I found at first it was a little difficult to associate Matt Damon as anything else but Jason Bourne.But as the film settled in I forgot Jason.The story wasn't overely bright but was conclusive as to what it was all about.That is the Americans covering a story which has already been told.i.e The Big Cover Up,of the Iraq affair.Overall I thought it was a good film , forget the politics watch the film.Good graffics,lots of action etc.4 out of 5*'s.",2010-11-15,1,3,False
11,B00GCBVE0Q,282740618,Le secret de Green Knowe,N,Y,,"J'ai aimé cette histoire. Les acteurs - et surtout Maggie Smith - m'ont plu. Je suis convaincue! Je ne l'aime pas autant que d'autres, mais cela m'a plu.",2014-11-23,2,3,False
19,1423165691,883799517,A Disney Sketchbook.,N,N,okay mais...,est-ce une coincidence que la plupart des princesses disney et autres personnages principaux ont ete omis de ce recueil?? Ca reste un joli livre mais qui laisse bien sur sa faim. Une suite avec un choix plus judicieux de croquis serait bienvenue.,2012-12-22,0,0,False
33,0061091480,623343977,Your Erroneous Zones,N,N,Arrogant,"Wáyné Dyér is á pớpúlár áméricán pérsớnál grớwth áúthớr ánd Yớúr Érrớnéớús Zớnés wás his bréák thrớúgh bớớk. Pérsớnálly I dớn't knớw why hé bécámé sớ pớpúlár, I think his stylé is kind ớf árrớgánt ánd pátrớnizing ánd missés émpáthy fớr his réádérs. Máybé it's júst mé prớjécting ớn him, bút pérsớnálly I dớn't liké his vibés.",2009-07-21,0,0,True
34,B00HZ4CYOY,647510225,König der Mathematik Junior,N,Y,Tớllé Máthé Ápp...,.....unsere Kids mögen diese Art des Lernens. Abwechslungsreich und lehrreich. Bis jetzt wirds den Kids nicht langweilig. Kaufempfehlung! TOP Preis Leistung,2015-06-01,0,1,False
40,B0057YFX9C,240481447,Jason Bourne - Coffret trilogie : La mémoire dans la peau + La mort dans la peau + La vengeance dans la peau [Pack Collector boîtier SteelBook],N,N,Bluray steelbook r&eacute;ussi !,"Tr&egrave;s beau coffret a un prix int&eacute;ressant. Boitier m&eacute;tal r&eacute;ussi, belle pr&eacute;sentation !<br />En outre la qualit&eacute; HD est bien l&agrave; sur les trois films alors ... Offre int&eacute;ressante pour les fans de Jason Bourne.<br /><br />A recommander sans probl&egrave;me.",2011-10-21,2,3,True
46,B007TK77QE,165338194,The Casual Vacancy,N,Y,to long,"To long poor end, is she working up to a follow up??. If she is don't think il bother .",2013-09-28,1,4,True
49,B00005JYAX,581643936,Memento,N,N,,"Le film est excellent niveau suspense,... Je le comparerais un peu &agrave; \\""Total Recall\\"" (science fiction en moins) ou \\""6th sense\\"" pour l'originalit&eacute; du style de tournage/de l'histoire.<br />C'est l'histoire d'un mec qui a des problemes de m&eacute;moire, mais ce qui est excellent, c'est que le film \\""joue\\"" avec vous, et vous oblige &agrave; tester &agrave; fond votre propre m&eacute;moire !<br />A voir absolument : le style et la mani&egrave;re de tourner est tr&egrave;s originale.",2002-09-28,0,3,True
55,B004UPIDDC,950170023,Rio,N,N,"Brillant, Majestueux et Fascinant.","Bien sûr que ce n'est pas un film politique ou de propagande, même verte ou &eacute;cologiste. C'est un dessin anim&eacute; pour les enfants, y compris les tout petits. Un film simple comme les lignes de la main et charmant de couleur, de composition, de mouvement et d'action. Vous ne vous ennuierez pas un seul instant.<br /><br />De plus il montre la beaut&eacute; des oiseaux exotiques dans leur habitat naturel et combien ces oiseaux perdent de beaut&eacute; et de naturel dans une cage en oiseaux domestiqu&eacute;e sinon purement domestiques. C'est la petite leçon que le film veut faire comprendre &agrave; nos enfants. Ils doivent aimer les oiseaux et les animaux des autres pays, autant d'ailleurs que du leur, en libert&eacute; dans leur habitat naturel, dans la jungle si c'est la jungle ou dans la forêt si c'est dans la forêt comme le chevreuil que j'ai crois&eacute; cet apr&egrave;s-midi. Il n'y a pas de chevreuils dans le jardin des Tuileries et c'est tr&egrave;s bien ainsi.<br /><br />Mais le plus beau, le plus surprenant dans ce film c'est la longue visite mouvement&eacute;e que l'on nous fait faire de la ville de Rio de Janeiro, par les rues, les t&eacute;l&eacute;ph&eacute;riques, les trams, en delta planes ou bien simplement &agrave; vol d'oiseau ou en carnaval. Et tout y est, les plages, les pains de sucre et le Grand J&eacute;sus en haut du plus haut. Si bous ne l'avez pas d&eacute;j&agrave; fait, allez donc y passer une semaine, mais passez &agrave; l'aller comme au retour par Mexico pour ne pas prendre le tunnel de la mort qui va de l'Europe au Br&eacute;sil en ligne directe. Le lieu au monde o&ugrave; les accidents d'avion sont au plus haut.<br /><br />Pour les adultes, vous admirerez comment les pays &eacute;mergents, loin de conqu&eacute;rir le monde avec de l'argent seulement, ou des produits indispensables et bon march&eacute;, encore moins avec des armes et des arm&eacute;es, ont compris que la meilleure façon reste d'utiliser la culture, leur culture pour le conqu&eacute;rir. C'est le moyen employ&eacute; par les Am&eacute;ricains apr&egrave;s 1945, mais ceux-l&agrave; n'avaient pas enti&egrave;rement compris qu'il fallait qu'ils glissent leur culture dans une culture buvable dans le monde entier et dans chaque pays en particulier, si bien qu'ils vivent aujourd'hui un retour de flamme qui regarde les films des ann&eacute;es 50 pour une bonne partie, et même encore des ann&eacute;es 60 comme des produits m&eacute;diocres du fait de la saign&eacute;e pratiqu&eacute;e &agrave; Hollywood &agrave; tous les niveaux par le maccarthisme, et c'est vrai que beaucoup sont purement m&eacute;diocres.<br /><br />Grands parents et parents, ne croyez pas que vos enfants et grands enfants n'aimeront pas ce film. Ils adoreront et sortiront de la salle un peu moins idiots et aimant encore plus les animaux si beaux de ces pays &eacute;trangers mais ils sauront qu'il faut leur rendre visite o&ugrave; ils sont et pas les capturer et les mettre dans des cages. C'est si dur de r&eacute;apprendre &agrave; voler quand on en a perdu l'habitude. Et ces enfants et grands enfants danseront &agrave; la musique de ce film, battront des bras et des jambes et remueront leurs popotin car pour eux c'est dans les g&egrave;nes. Pour les plus âg&eacute;s c'est un peu oubli&eacute;. Ils ont oubli&eacute; le twist et encore plus le charleston.<br /><br />Dr Jacques COULARDEAUlture dans une culture buvable dans le monde entier et dans chaque pays en particulier, si bien qu'ils vivent aujourd'hui un retour de flamme qui regarde les films des années 50 pour une bonne partie, et même encore des années 60 comme des produits médiocres du fait de la saignée pratiquée à Hollywood à tous les niveaux par le maccarthisme, et c'est vrai que beaucoup sont purement médiocres.     Grands parents et parents, ne croyez pas que vos enfants et grands enfants n'aimeront pas ce film. Ils adoreront et sortiront de la salle un peu moins idiots et aimant encore plus les animaux si beaux de ces pays étrangers mais ils sauront qu'il faut leur rendre visite où ils sont et pas les capturer et les mettre dans des cages. C'est si dur de réapprendre à voler quand on en a perdu l'habitude. Et ces enfants et grands enfants danseront à la musique de ce film, battront des bras et des jambes et remueront leurs popotin car pour eux c'est dans les gènes. Pour les plus âgés c'est un peu oublié. Ils ont oublié le twist et encore plus le charleston.    Dr Jacques COULARDEAU",2011-05-07,2,3,True
68,B00CSGYLQI,183571812,Disney Princesse - Maison De Poupée - La Reine Des Neiges - Château Et Palais De Glace D'Elsa Et Anna,N,Y,Très satisfaite,Château facile à monter et conforme à la description. Ma fille est très contente. Très satisfaite du produit. Je le recommande.,2015-08-31,0,2,False
