,product_id,product_parent,product_title,vine,verified_purchase,review_headline,review_body,review_date,marketplace_id,product_category_id,label
16,B00HYF61I4,300228080,"Perixx AX-4000, Casque intra-auriculaires - Casque gamer - Boitier aluminium - En ligne Omni microphone directionnel - Cas portant de voyage - Compatible avec iPhone, Android et appareils mobiles",N,Y,extrement déçu,Je suis très déçu car ces ecouteurs sont morts au bout de 3 semaines.<br />je vous le deconseille.<br />mauvais article,2015-03-28,0,5,False
25,3502102228,93816562,Gone Girl: Das perfekte Opfer,N,N,Au&szlig;ergew&ouml;hnlicher Thriller mit vielen &uuml;berraschenden Wendungen,"„Ich habe schon immer gedacht, dass ich den perfekten Mord begehen k&ouml;nnte“.<br /><br />Am Morgen ihres f&uuml;nften Hochzeitstages verschwindet Amy Elliot Dunne spurlos. Ihr Mann Nick findet ein leeres Haus vor, mit Kampfspuren und Blutflecken im Wohnzimmer. Wurde Amy entf&uuml;hrt oder, schlimmer noch, ermordet?<br /><br />Wie immer ist der Ehemann der Hauptverd&auml;chtige, und Nick verh&auml;lt sich in der Tat ungew&ouml;hnlich. Und dann findet die Polizei erschreckende Hinweise…<br /><br />Ich traue mich nicht, mehr von der Handlung zu verraten, allzu leicht k&ouml;nnte sich ein ungewollter Spoiler einschleichen. Denn dieses Buch ist voller &uuml;berraschender Wendungen; nichts ist so, wie es scheint. Oder etwa doch?<br /><br />Ehen k&ouml;nnen scheitern, das ist normal. Aber diese Ehe ist etwas Besonderes, und so ist auch ihr Scheitern etwas Besonderes. Die unterschiedlichen Wahrnehmungen der Ehepartner sind hier noch weiter auseinander als in anderen Ehen.<br /><br />Das bekommen wir beim Lesen hautnah mit, wird die Geschichte doch abwechselnd von Nick und Amy erz&auml;hlt. In den Erz&auml;hlungen von Nick spielen die Ereignisse in der Gegenwart die Hauptrolle, w&auml;hrend die von Amy erz&auml;hlten Teile des Buches in erster Linie die Vergangenheit beschreiben.<br /><br />Langsam kann man so die wahre Geschichte zusammensetzen, die Geschichte hinter den Kulissen, die sich immer mehr zuspitzt und in einem wirklich &uuml;berraschenden und h&ouml;chst ungew&ouml;hnlichen Ende m&uuml;ndet.<br /><br />Dies ist ein ganz au&szlig;ergew&ouml;hnlicher Thriller, der so spannend geschrieben ist, dass  man ihn unm&ouml;glich aus der Hand legen kann. Ich empfehle daher, ihn nur zu beginnen, wenn man genug Zeit hat, ihn in einem Rutsch zu lesen.<br /><br />So schnell man es auch liest, das Buch wirkt dennoch lange nach, weil man beginnt, &uuml;ber Ehen und Beziehungen nachzudenken…",2013-10-27,3,0,True
27,B00ANKV64G,88133380,"Crocs Jayna, Ballerines femme",N,Y,,"C'est la toute première fois que je porte ce genre de chaussures et j'en suis très étonnée,Je les croyais lourdes,inesthétiques;que du contraire. Je les porterais du jour au soir.Et elles s'adaptent à presque toutes les situations:dans la maison,à l'extérieur,elles ne<br />glissent  pas.Le moment des vacances est aussi un plaisir pour moi autant à la plage,au bord de  la piscine,à la campagne...Ne les oubliez pas.De plus,entretien minime;suite à un petit passage à la machine ,elles sont comme neuves!",2014-03-07,2,7,False
28,B006DVUULE,281771294,Real Steel [Blu-ray] [Region Free],N,Y,Four Stars,Good Family movie,2014-11-12,1,3,False
36,B00B3SSS02,410083580,"Sony BDP-S1100 Blu-ray-Player (HDMI, HD Upscaler, Internetradio, USB) schwarz",N,Y,"Comfortabel, Standard...",Habe das Ding wegen dem guten Preis Leistungsverhältnis gekauft.<br />Als Bluray player erfüllt er alle Erwartungen.<br />Alle Online Leistungen habe ich nicht getestet da ich sowas über Laptop oder Tablet mache.<br />Einziger Minuspunkt.<br />Eine DVD in meiner Sammlung habe ich schon ausgemacht welche der Player nicht schluckt...das werde ich weiter im Auge haben.,2013-12-16,0,8,False
45,B004KKXMSI,892767727,Jurassic Park Ultimate Trilogy [Blu-ray][Region Free],N,Y,Great price but missing cardboard slipcover - some damage,"A great deal compared to the price for the same set here in Canada. However, the plastic case/artwork had a puncture in it and the cardboard slip cover was missing.",2012-12-14,1,9,False
79,B002V092M4,726391173,Tinker Tailor Soldier Spy,N,Y,THE superlative spy novel,"This is one of the great spy novels, and is clearly modelled in no small degree on the story of Kim Philby, the 'Third Man' who not only tipped off Burgess and MacLean in 1951 and allowed them to escape before they could be arrested for leaking secrets, but then escaped himself in 1963 after his guilt had eventually been uncovered.<br /><br />Set at the height of the Cold War it recounts the search for a 'mole' within the upper echelons of the Secret Service. George Smiley, 'an old spy in a hurry' is brought back from the involuntary retirement into which he had been pushed just a couple of years previously. He reluctantly accedes to be commissioned to investigate an allegation that one of the four officers at the head of MI6 might in fact be a long-established Russian spy.<br /><br />'It's the oldest question of all, George. Who can spy on the spies? Who can smell out the fox without running with him?' This is the question put to Smiley by Oliver Lacon, 'Whitehall's head prefect' after he has explained the evidence that has  finally convinced him of the existence of the mole. There are four suspects: Percy Alleline ('Tinker'), dour Scotsman and acting Chief of Service; Bill Haydon ('Tailor'), flamboyant wunderkind, alternately mentor and hero to the Service's younger generation of aspirants; Roy Bland ('Soldier'), would-be academic and ultimate self-seeking pragmatist; and Toby Esterhase ('Poor Man'), opportunistic Hungarian &eacute;migr&eacute; desperate for promotion and convinced that no-one shows him the respect he deserves.<br /><br />Control, the former head of the Service, had reached managed to reach this far before, acting entirely on his own, but as his health rapidly failed he embarked upon one wild last throw to flush the traitor out. This was the venture subsequently known as 'Operation Testify', alluded to throughout the book though the full extent of its disastrous nature is only revealed near the end.<br /><br />The reverberations of Operation Testify echo through the Service for years afterwards. Control is forced into retirement and dies almost immediately. In the reorganisation that followed Smiley was also pushed into retirement. Alleline takes over, with Haydon as his deputy, and the new world order seem to have begun.<br /><br />On the other side of the world, however, Ricki Tarr, a rough and ready member of the Service, accustomed to infiltrating gun-running gangs, meets Irina, a Russian agent in Hong Kong. Their affair is hectic and hasty, and she tells Tarr of the greatest secret that she knows: there is a Soviet mole, with the code name 'Gerald' in the highest echelons of the Service. She does not know many details but does have enough facts to convince Tarr that she is telling the truth. He passes the information back to the Circus, but receives no reply. However, Irina is almost immediately rounded up by her Soviet minders and shipped back to Russia.<br /><br />Tarr goes underground and eventually makes his way back to London where he contacts Guillam, and through him Lacon. The witch hunt has begun. Smiley has to track them down through the paperwork, secured through deft chicanery by his one ally on the inside, the redoubtable Peter Guillam whose own career was truncated.<br /><br />Le Carre offers none of the glamour and fantasy world cavortings of Ian Fleming's 'James Bond' novels. Smiley and his associates have to grapple with the shabby and entirely mundane underbelly of the espionage world, working back through the files, and eye-witness accounts of previous failed operations. There is absolutely no glamour or sparkle about the story at all, though that serves to boost its compelling nature.<br /><br />It is also immensely redolent of the early 1970s. All the way through the book characters are freezing cold, huddled in their coats and struggling to generate any warmth at all. The enigmas and moral dilemmas, though, remain timeless.<br /><br />This is a fascinating and engaging novel, that improves with every re-reading. The excellent BBC television series captured the feel of the novel very well,though the book (as is so often the case) is even better. Don't bother with the Gary Oldman film though - I haven't seen such a dreadful screen adaptation of an excellent book since they butchered [The Bonfire of the Vanities].every re-reading. The excellent BBC television series captured the feel of the novel very well,though the book (as is so often the case) is even better. Don't bother with the Gary Oldman film though - I haven't seen such a dreadful screen adaptation of an excellent book since they butchered [The Bonfire of the Vanities].",2014-08-02,1,10,True
85,B00005QIY3,764225369,Chocolat,N,N,Süß wie Schokolade,"&bdquo;Chocolat\\"" ist wieder einmal ein schönes französisches &bdquo;Märchen\\"", etwa vergleichbar mit &bdquo;Amélie\\"", auch wenn &bdquo;Chocolat\\"" nicht an dessen Genialität heranreicht. Die Geschichte spielt in einem französischen Dorf, in dem die Zeit still zu stehen scheint und in dem Kirche und Gottes Gesetz das Leben der Bewohner bestimmen. Gewaltenteilung scheint ein Fremdwort zu sein - der Bürgermeister schreibt die Predigten und bestimmt, was recht und unrecht ist. Doch eines Tages kommt mit dem Nordwind eine Frau mit indianischen Vorfahren namens Vianne Rocher mit ihrer Tochter Anouk in das verschlafene Nest, die das Leben der Dorfbewohner verändern wird. Zunächst stößt sie jedoch, vor allem beim frommen bzw. scheinheiligen Bürgermeister, auf wenig Akzeptanz: Nicht nur, daß sie bekennende Atheisten ist, obendrein eröffnet sie auch noch ausgerechnet während der Fastenzeit eine Chocolaterie im Dorf. Der &bdquo;Sittenwächter\\"" ist entsetzt und setzt alles dran, um \\""die Sünde\\"" wieder aus dem Dorf zu vergraulen. Nach und nach finden jedoch immer mehr Dorfbewohner Geschmack an dem süßen Angebot - der kleine Laden wird Anlaufstelle für alt und jung und zusehends erwachen im Dorf die Lebensgeister. Mit der Ankunft eines fahrenden Volkes, das von der Dorfgemeinschaft abgelehnt, von Vianne jedoch vorbehaltlos akzeptiert wird, braut sich der drohende Eklat zusammen. Und auch der Nordwind, der Vianne nie lange am selben Ort verweilen läßt, kündigt sich wieder an..<BR>Eine schöne kleine Geschichte mit viel Charme und Humor, allerdings auch mit einigen Klischees (z.B. aphrodisierende Schokolade), über unterdrückte Gefühle und Leidenschaften, über Lebensfreude und Toleranz.",2002-09-19,0,3,True
92,B0014XCMVM,894627049,Flavors of Entanglement,N,N,Ich habe Alanis M. wiederentdeckt.,"Sie macht nicht nur großartige Musik, sondern jongliert auch mit Worten, wie man es selten in Liedern findet. Heutzutage bestehen Songs doch meist aus eingängigen Rhythmen, drei Akkorden und fünf Wörtern. ;-) Da war, ist und bleibt Alanis M. eine erfrischende Ausnahme.     Ihre Lieder sind meist düster, wie wir es von ihr gewohnt sind. Das erste Mal experimentiert sie mit elektronischer Musik, was ich nicht gebraucht hätte, aber es hört sich tatsächlich gut an. Als ich das in einer Rezension las, befürchtete ich seichte Elektropopsongs, aber die Lieder sind genauso rockig, wie bisher, und auch der Elektroanteil bleibt düster.",2008-05-31,0,6,True
101,B001J06KPY,676751947,The Illusionist - Kaufversion im veredelten Stülper,N,Y,éin schönér Film mit Édwárd Nớrtớn únd Páúl Giámátti,"Edward Norton spielt ja generell nur in sehr guten Filmen mit. Trotzdem war ich etwas skeptisch bei diesem Titel / Setting und dem Weichzeichner-Cover. Vielleicht ein klassischer \\""Frauenfilm\\""? Am Anfang könnte man es meinen. Durchwegs gute, bis sehr gute (Giamatti) Schauspielleistungen (selbst Jessica Biel ist akzeptabel), ein schönes Setting an Originalschauplätzen (Wien im späten 19. Jahrhundert) und eine nur scheinbar vorhersehbare Storyline warten auf einen. Die Kameraführung ist exzellent - nicht umsonst Oscar-nominiert! Und auch der Soundtrack ist großartig - Phil Glass eben. Der Film steigert sich sehr langsam, scheint vorhersehbar auszuklingen, wartet dann aber mit einem grande finale par excellance auf.    Insgesamt ein toller Film für alle die, für die Popcornaction oder Kalauercomedy kein Muss ist.",2010-05-05,0,3,True
