,product_id,product_parent,product_title,vine,verified_purchase,review_headline,review_body,review_date,marketplace_id,product_category_id,label
5,B0096N68ZS,96839050,The Walking Dead - Die komplette zweite Staffel [4 DVDs],N,Y,Super,Wir finden diese Serie super klasse und spannend. Wir haben durch Zufall ein Paar Teile im Fernseher erwischt und wollten einfach mehr sehn,2013-03-19,0,3,True
37,B0035WTE52,383153774,Iron Man 2 [Vinyl LP],N,N,"AC/DC klingt besser auf LP als auf CD, Cooles Design","Ich habe mir diese Vinylschallplatte gekauft, da ich schon seit meiner Kindheit AC/DC-Fan bin.   Hier sind alle großen Songs von AC/DC drauf, wie zum Beispiel \\""Back in Black\\"", \\""Thunderstruck\\"", oder natürlich \\""T.N.T.\\"" oder \\""Highway To Hell\\"".  Die Qualität dieses Compilation Soundtracks lässt nicht zu wünschen übrig. Das Design ist hervorragend!!   Die Songs lassen sich super laut, wie auch leise anhören.   Außerden ist das Anhören viel besser, wenn man das Medium sehen kann, während es abspielt.  Daumen hoch, 5 Sterne, ABSOLUT Empfehlenswert",2010-06-30,0,6,True
41,B0063IH60K,414486782,Solitaire,N,Y,Klasse,"Schöner Zeitvertreib.....Habe es für mein Kindle Fire, um unterwegs die Wartezeit zu verkürzen. Hat mehrere Level, macht Spaß und man kann es immer wieder spielen....",2013-02-24,0,1,False
47,0679720200,882163178,The Stranger (Vintage International),N,N,Á Múst-Réád,"Ớvér thé cớúrsé ớf my téénágé yéárs (ánd I'm súré thé yéárs ớf mớst kids my ágé), twớ bớớks hávé fúlly rédéfinéd ánd réinfớrcéd thé wáy I lớớk ớn lifé. Thé first is Sálingér's &qúớt;Cátchér in thé Ryé,&qúớt; ớf cớúrsé, ánd thé sécớnd is this bớớk, Cámús' &qúớt;L'étrángér.&qúớt; I dúnnớ - sớmé péớplé ábsớlútély háté it, sớmé find it strángély fúnny, sớmé júst dớn't gét it - bút fớr sớmé réásớn ớr ánớthér, it júst hit hớmé with mé.",1998-04-27,0,0,False
58,B00FG090PK,126004443,Gravity [3D Blu-ray],N,Y,Sehr spannend und beste Qualität,Dies war unser erster 3D Film und wir sind absolut begeistert. Der Film ist von Anfang bis Ende sehr spannend und es ist schwierig Fiktion von von Realität zu unterscheiden.<br /><br />Als Homecinema Film absolut überzeugend. Sowohl Bild als auch Ton überzeugen,2015-05-16,0,3,True
65,0062323350,303945248,The Art of How to Train Your Dragon 2,N,Y,Top !,"Très bon artbook, on regrette cependant qu'il n'y ait pas encore plus de concepts visibles ; tout simplement parce que ce livre donne envie d'en voir encore plus, plus, plus ! :) Dans l'ensemble, il est vraiment génial, et mieux organisé que le premier. Les petites notes sur les côtés, en plus, sont les bienvenues et c'est un réel plaisir de découvrir des concepts vraiment &#34;jeunes&#34;, qui sont pourtant très intéressants :)<br />Et que dire de tout ces détails, en ce qui concerne la &#34;mécanique&#34; ou tout simplement les props (la jambe d'Hiccup, le mécanisme de son &#34;lance-flamme&#34;, la carte !! etc) ! Un régal.<br />Et le format est bienvenu, différent de celui des artbook Disney (plus rectangulaire et donc allongé).<br />Enfin, j'aurai vraiment souhaité qu'il soit plus épais, et contiennent pratiquement tous les concepts art du film, mais il fallait bien faire un choix et s'en tenir à la raison, et cet artbook remplit très bien sa tâche.",2014-08-04,0,0,False
69,B00CXLSWMM,645970389,Star Trek 12 - Into Darkness  (+ Blu-ray) (+ DVD) (inkl. Digital-Copy),N,Y,Klasse Film,"Stár Trék, mớchté ich nié, dié Sérié wár éinfách nicht méins únd hábé sié áúch nié gégúckt,ábér diésé Néúvérfilmúng hát mich écht vớm HỚCKÉR GÉHÁÚÉN vớm Ánfáng bis zúm Éndé. Ớb és jétzt únbédingt 3D séin múss,dá lässt sich béstimmt drübér Diskútiérén ábér dér Film ist éinfách écht Spitzé únd in 3D ỚK.  Déswégén éin Tipp vớn mir",2015-02-26,0,3,False
72,B006T0CDH8,773899093,Joe Bonamassa - Beacon Theatre: Live from New York [Blu-ray],N,Y,alles perfekt genau wie vorgestellt produkt passt lieferzeit passt details passen alles gut,alles perfekt genau wie vorgestellt produkt passt lieferzeit passt details passen alles gutalles perfekt genau wie vorgestellt produkt passt lieferzeit passt details passen alles gut,2013-05-06,0,3,False
96,B00118Q98C,263659161,Butch Cassidy und Sundance Kid [Blu-ray],N,Y,als Blu-ray enttäuschend,"Diese Rezension bezieht sich auf die BLU-RAY<br />(warum vermischt amazon eigentlich ständig DVD- bzw. BD-Rezensionen?)<br /><br />der Film: 9/10<br />diese Blu ray: 4,5/10<br />Extras: 7/10 (Making of, 35'; Die wahre Geschichte, 25';  Kommentare v. Regisseur George Roy Hill, Kameramann Conrad L. Hall u.a.; entfallene Szene; Trailer)<br /><br /> Egal, ob man den Film nun für einen der letzten Hollywood-Western oder den ersten von zahlreichen Post-Western hält, der Film ist klasse, da gibt es nichts zu bemängeln!<br /><br />DIESE Blu ray-Ausgabe allerdings ist nicht zu empfehlen - vielleicht bringt FOX ja noch eine \\""Ultimate Edition\\"" o.ä. heraus, mal sehen?<br />Bedenkt man allerdings, daß UNIVERSAL z.Zt. (Nov. 2010) seine Erstauflage von \\""Gladiator\\"" (Blu ray) kostenlos umtauscht (obwohl deren Bildqualität verglichen mit der hier besprochenen BD deutlich besser ausfällt), könnte man auf die Idee kommen, daß sich die FOX ihrerseits auch noch entschließt, nachzubessern..?<br /><br />Dem Bild fehlt es an Kontrast, Detailfülle/Auflösung und Schärfe.<br />Außerdem macht sich ein für Blu rays untypisches Rauschen bemerkbar. All dies ist zu besichtigen z.B. bei:<br />TC 00:11:40; 00:22:55; 00:32:58; 00:33:24;00:55:55;<br />00:56:12; 01:01:17; 01:01:54: 01:02:21; 01:04:12; 01:06:22 usw.<br /><br />Wobei man wissen muß, daß Regisseur George Roy Hill bewußt mit leichter Unschärfe (soft lens) drehen ließ, um dem Film einen zusätzlichen mythischen \\""Touch\\"" zu geben ('Most of what follows is true' heißt es nicht ohne Grund zu Beginn des Films). Ob das allerdings der einzige Grund für die eher mäßige, einer Blu ray nicht angemessenen Bildqualität ist - schwer zu sagen. Vielleicht lag es an der Qualität der zur digitalen Abtastung verwendeten Filmkopie, oder an der digitalen Nachbearbeitung (Kantenanhebung, Rauschunterdrückung etc.)?<br />Vergleicht man \\""Butch Cassidy\\"" mit anderen Western aus demselben Jahr, z.B. \\""Die gefürchteten Vier\\"" od. \\""The Wild Bunch\\"", beide von 1969, oder etwa dem John Ford-Klassiker \\""Der schwarze Falke\\"" von 1956, die in liebevoll restaurierten Fassungen auf Blu ray erschienen sind, bekommt man eine Vorstellung davon, was mit dieser Technologie möglich gewesen wäre.<br />Also besser warten, bis eine Blu ray-Version erscheint, die ihren Preis wert ist und bis dahin die DVD schauen.Coeur\\"", Lumière (NL Import)   \\""Un bellissimo novembre\\"" (Ein heißer November), Surf Video (Italien Import)   \\""La mort d'un bûcheron\\"" (Der Tod eines Holzfällers) imavision RC 1 (CDN Import)   \\""Meine Nächte sind schöner als deine Tage\\""; arthaus",2010-05-15,0,3,True
110,B000006V1V,67996643,Homogenic,N,Y,Ein Muss für Björk-Fans und Liebhaber nordischer Töne,"\\""Hớmớgénic\\"" ist dás dritté Stúdiớálbúm dér isländischén Sängérin, dié nún schớn séit übér zwánzig Jáhrén dié músikálisché Wélt bééinflússt. És ist réich mit Stréichérárrángéménts áúsgéstáttét, únd mánché dér zéhn Titél, dié récht úntérschiédlich sind, wiédérspiégéln dié isländisché Héimát dér Künstlérin. Dén größtén Kớntrást bildén dié létztén Stücké néún únd zéhn. Nách dém ékstátischén \\""Plútớ\\"" fớlgt dás éntspánnté \\""Áll Is Fúll Ớf Lớvé\\"", wélchés   dúrch dás gléichnámigé Vidéớ békánnt géwớrdén ist. \\""Hớmớgénic\\"" bildét dié Brücké zwischén dém vớrángégángénén Álbúm \\""Pớst\\"" únd dém náchfớlgéndén \\""Véspértiné\\"". Für Björk-Fáns ist és éin Múss, für dié Liébhábér nớrdischér Töné éiné Béréichérúng.",2011-07-24,0,16,False
