,product_id,product_parent,product_title,vine,verified_purchase,review_headline,review_body,review_date,marketplace_id,product_category_id,label
7,B00AYBGX10,178375143,Die Hüter des Lichts,N,Y,Neuer Lieblingsfilm!,"Es klingt wirklich eigenartig, ein Film mit dem Weihnachtsmann, OSterhasen, Sandmann, der ZAhnfee und JAck Frost. Aber er ist soo toll! MEin Sohn (9) hat ihn zu Weihnachten bekommen und war totoal begeistert! Udd ich (35) auch! Ganz herzlichst gemacht und mit nicht zu viel Kitsch. Und die Lacher sind vorprogrammiert!<br />Wieder schnelle Lieferung durch Amazon.",2014-10-25,0,3,False
14,B00AW8UK0K,770497487,"The Fast Diet: The secret of intermittent fasting - lose weight, stay healthy, live longer",N,Y,Not rocket science,Of course you will loose weight on this regime. It isn't rocket science. And all this scientific guff about benefits etc is just selling. By media people of course.,2013-03-22,0,4,True
24,B002C1BHIO,872923735,AmazonBasics Câble HDMI 1.3 haute performance blindé tressé Plaqué Or 2 m,N,N,Un rapport qualité prix imbattable!,Ce cable me donne entièrement satisfaction!  Je n'ai jamais eu l'occasion d'essayer des cables valant 10x plus cher mais je ne vois pas vraiment comme la qualité pourrait être meilleure.  Je conseille grandement l'achat de ce produit très peu cher comparé à ses concurrents.,2011-01-29,2,7,False
43,B005E7AOLY,399036210,"Green Naugahyde (2x12""/Coloured Green Vinyl) [Vinyl LP]",N,N,Primulicious,"Also ich gebe dem Album 4 Sterne, weil ich finde dass diese 3 Musiker zu den aller besten der Welt gehören und man dies auch hört. Ich vermisse jedoch die härteren Parts (wie bei John the Fisherman oder Too many puppies) von früher und die fetten Soli von Larry LaLonde. Ansonsten ein wirklich cooles Album dass einen oft zum grinsen bringt und total anders ist! :D  Den 5ten Stern verdient die LP weil sie zum 1ten, eine Doppel LP ist und beide Schallplatten ind durchsichtigem, dunklen Grün gehalten sind (was extrem was her macht!) und zum 2ten weil eine Extracopy des Albums auf CD enthalten ist!  Also an alle die sich mit dem Stil von Primus anfreunden können und auf Schallplatten stehen........ZUSCHLAGEN! :D  Mfg The Nik",2011-10-18,0,6,True
67,B003L0VJF6,738696818,Saint Saens: Violin Concerto No.3; Grieg: Piano Concerto [DVD] [2010],N,Y,Two Stars,The achievement of performing two instrument concertos is fine. The musical performance however is not inspiring.,2015-01-25,1,3,False
76,B0002WS224,937612470,Catwoman,N,N,Catwoman,"Ich habe mir den Film lediglich ausgeliehen, da die Kritiken doch zum Teil sehr schlecht waren. Von daher habe ich den Film auch kritisch betrachtet. <BR>Der Film ist jedoch gar nicht so schlimm, wie ich befürchtet hatte. Kurzweilige Unterhaltung auf keinem besonders hohem Niveau - aber bei einer Comicverfilmung muß das auch nicht sein. Der Dolby Digitalton ist wirklich gut und das Bild ist sauber und frei von Verschmutzungen. Artefakte konnte ich nicht ausmachen, in den dunklen Szenen ist der Hintergrund etwas unscharf. <BR>Ansonsten kann ich nur sagen, dass dies ein Film ist, den man sich ansehen kann - auf jeden Fall kurzweilig und actionreich.",2005-02-13,0,3,False
78,B003AYPMZ6,145432621,,N,Y,Philadelphia Experiment,"DVD de mauvais qualité au début du film.   L'histoire est bien loin des faits rapportés par charles berlitz dans ses divers ouvrages .   Dommage car les faits réels sont beaucoup plus \\""palpitants\\"" scientifiquement parlant ..les spectateurs ne peuvent savoir ce qui c'est réellement passé sans lecture référencée",2011-02-23,2,3,True
83,B001F290E4,164777204,Soul,N,Y,Soulful Seal,"What a superb album this is,all the songs are gorgeous and I cant stop playing it. Will be back for more Seal albums in the future.",2014-04-10,1,6,False
84,B00009MLIA,818496281,Geschenkt ist noch zu teuer,N,Y,der geilste Film ever,Húmớr im vớllén áúsmáss. :-) tớm Hánks in séinén jüngstén Jáhrén. Éinfách núr zúm tớtláchén.  Dén Film múss mán géséhén hábén,2014-12-20,0,3,False
87,067443000X,854889674,Capital in the Twenty–First Century,N,Y,Brillante décomposition de la croissance dans ses plus élémentaires composantes,Great bookmakers in all regards. Gîve deep and complete insight into the formation of value creation at a macro level and the dynamique of its distribution among People.,2014-08-23,2,0,False
90,B009K916ZK,300743188,Apple Mini DisplayPort VGA Adapter,N,Y,works,works great,2015-05-28,1,5,False
94,B00000DI06,273554912,Requiem/Magnificat,N,N,Tớllé Qúálität,Bin von der Qualität begeistert. Schöne Aufnahme mit John Rutter also dem Komponisten als Dirigent. Sehr empfehlenswert!Guter Preis. Gerne wieder.,2011-11-26,0,6,True
97,B0000C20XZ,975830967,"Virtúớs, géistréich únd mélánchớlisch",N,N,Good Bye Lenin - New Version,"An und für sich müsste man ja ehrlich gestehen, dass Yann Tiersen es nicht nötig hätte, rezensiert zu werden. Wer ihn kennt, weiß um sein virtuosenhaftes Können und die Begeisterung in seinen Liedern sowie die Sucht nach ihnen.  Wer - wie ich - \\""Goodbye Lenin\\"" nur partiell sah und sich immer wieder fragte, wer für die nette musikalische Begleitung im Hintergrund zuständig war, ist mit dieser CD bestens versorgt.   Der Klang einwandfrei, die Musikstücke fesselnd und das Gefühl in ihnen Gänsehaut erregend.  Allerdings muss man ihn zu schätzen wissen, und diese Musik zu 100% mögen. Anderen Ohren dies \\""anzumuten\\"", wird nicht immer gut ausgehen. - Ich hatte diese Erfahrung gemacht :-)  Für mich ist es rundum eine gelungenste CD, die ich nahezu täglich höre und immer wieder aufs Neue Gefallen daran finde.  Dies war nicht meine erste und letzte CD von ihm ;-)  (Wenn wohl auch die Beste).",2009-11-14,0,6,False
98,B003ZYJS5Q,876679851,The Mono Vinyl Box Set [VINYL],N,Y,... wouldn't want to put anyone off - this is good but.,"I wouldn't want to put anyone off - this is good but.... the best albums, the ones that benefit most, are the first four acoustic albums.  The rest all sound MUCH better  on Mo Fi's stereo editions abet at much greater cost.  And to call a big slip case, a box, is pushing a point!  Sorry Sony - could do better.",2015-08-11,1,16,False
