,product_id,product_parent,product_title,vine,verified_purchase,review_headline,review_body,review_date,marketplace_id,product_category_id,label
6,B00P77ZAN8,193188380,Hearthstone,N,Y,could be great if it worked.,"What's not to love most? The 1 fps it runs at? The persistent crashes? Or the little things like a splash screen that is locked 180&deg; opposite to the title screen? I genuinely want to like hearthstone but it is currently a rushed, buggy, horrendously un_optimized mess.",2014-12-27,1,1,True
13,B00DE6NH2A,715581077,Cirque du Soleil : le voyage imaginaire [Combo Blu-ray 3D + Blu-ray + DVD],N,N,Spectaculaire à tous points de vue,"Je ne m'attendais qu'à un &#34;joli&#34; spectacle, et bien j'en ai pris pour mon grade :<br />La 3D est déjà très bien exploitée car la réalisation regorge de plans multiples, dans les airs ou pas, qui utilisent la troisième dimension de façon superbe pour mettre en valeur la composition de la scène.<br />L'histoire, le fil conducteur qui amène progressivement les spectacles, est simple mais suffisamment accrocheuse pour qu'on se laisse porter dans ce rêve éveillé. Car c'est un spectacle qui semble tout droit sorti d'un rêve auquel nous avons droit : décors énormes et extravagants, machineries en tous genres, costumes superbes, musiques envoûtantes.<br />C'est LE spectacle par excellence, à voir et à revoir.",2015-02-23,0,3,False
18,B0040X3SFW,395632662,Toy Story + Toy Story 2 + Toy Story 3 - coffret 3 DVD,N,Y,complet,"Très bon film et très bonnes suites. Adaptés à tous les âges, à regarder en famille. On rigole, on est ému, en bref on ne s'ennuie pas et on est vraiment content de retrouver les personnages à chaque épisode.",2014-04-28,2,3,False
22,B0006VSLJ0,635987161,Kosmos  6961840 - Ubongo,N,Y,gefällt mir,"sehr oft gespielt, gefällt auch den Kindern, im Augenblick haben wir nicht mehr viel Zeit zum spielen, da andere  sachen wichtiger sind",2014-03-03,0,2,False
23,B00062ZE3U,958488208,The Silent Force (Limited Premium Version),N,N,Symphớnischér Méilénstéin!,"\\""The Silent Force\\"" ist ein absolutes Meisterwerk, in welchem sich ein eingängiger, roter Faden des symphonischen Metals hindurchzieht. Die Holländer setzen, im Gegensatz zum Vorgänger-Album \\""Mother Earth\\"", mit ausgefeilten Orchester- und Chorklängen noch einen drauf und erweitern so ihre Diskografie um einen zweiten Meilenstein.<br />In Bezug zu der argumentlosen Behauptung von \\""torsten_eitze\\"" aus Kempen, dass dieses Album Nightwish's Once in den Schatten stellt, kann ich nur folgendes sagen:<BR>Sharon's Stimme ist definitiv ausgereifter wie nie zuvor, aber mit Tarja's Stimme in Bezug auf die Klangfarbe und den Stimmumfang (von tiefen Rock-Balladen bis koleratursopranen Ariengesang) nicht zuvergleichen. Zumal bei Nightwish am Mikrofon nicht nur Tarja, sondern auch der Bassist Marco und als Sondereinlage ein \\""Native American\\"" (Ureinwohner indianischer Abstammung) mit Gesang und Flöte wirkt. Des weiteren sind die recht monotonen Gitarrenriffs und Emmpu's (Nightwish) Gitarrenarbeit zwei verschiedene Welten. Ähnliches gilt für die einfachen Schlagzeugabgänge. Ein Sarkastiker würde meinen, dass für immer wiederkehrende Parts ein Drumcomputer ausreicht. Bei Nightwish lässt sich Jukka für jeden Song einen anderen Rhythmus einfallen und versucht dadurch ein breites Spektrum abzudecken.<BR>In diesem Sinne appeliere ich an alle Freunde der guten Musik, derartige Übertreibungen zu unterlassen.<br />Davon abgesehen sind Bands mit ihrer Musik zum anhören da und nicht zum gegenseitigen vergleichen. Jede Band hat ihren eigenen Stil und jeder Zuhörer seinen eigenen Geschmack. Zu sagen, dass eine Band besser als die andere sei, ist nonsens und für Entscheidungen nicht hilfreich.<br />Deshalb meine Bewertung / mein Tip:<BR>Wer Alben von Edenbridge, Elis, Epica, Evanescence, Leaves' Eyes, Nightwish oder Xandria<BR>im CD-Ständer hat, sollte ihn um \\""The Silent Force\\"" auf jeden Fall erweitern! (10/10)",2005-01-09,0,6,True
31,159315724X,875238256,The Compound Effect,N,Y,A very motivating book which teaches how powerful the compounding effect can be in every area of our lives.,"I have just read this book in 2 days. Wow what an inspiring read and it just goes to prove how very little changes implemented on a daily basis can compound over time and have a dramatic affect on your future results, whether that be in your financial life, work life, business life or relationships. I particularly like the idea of &#34;Book Ending&#34; our days, which basically means creating positive routines for both the start of your day and the end of your day so that no matter what happens during the rest of the day, you are in control of both the beginning and the end of each and every day. It has also made me want to immediately look at who I associate with and spend my time around and how they may be influencing me both positively or negatively. I can't wait to get started on some of the exercises explained in this book and can only see positive results and success coming as a result of doing so. I highly recommend this book to anyone who has any kind of goal in mind in any area of their life or for anyone in need of a confidence boost that they too can achieve whatever they want if they put the effort it. A very enjoyable book to read and I will definitely be referring back to it from time to time to keep myself on track. :)",2015-02-28,1,0,False
70,B00004VYBJ,861478241,La Vie est belle,N,N,Une histoire bouleversante.... et drôle !!!,"Incroyable, ce film de Begnini...<BR>Peut on rire des périodes les plus sombres de notre histoire ?? Voilà la question.<BR>Begnini a réussi un film incroyable, boulversant traitant sur la déportation des juifs en Italie, un sujet pas vraiment gai ; et pourtant Begnini en a fait un film surprenant, parfois comique, presque une parodie, mais surtout sans jamais manquer de respect aux victimes.... au contraire.<BR>Ce film est à posséder absolument, c'est un film qui restera dans l'histoire pour avoir osé, et pour avoir réussi.",2002-04-20,2,3,True
82,B004UVCOZ4,817062667,Miles Davis: 20 Classic Albums [10CD] [Audio CD] Miles Davis,N,Y,Five Stars,"liked, the delivery time was fast. all ok.",2014-11-17,1,6,False
91,B001JFNC7I,345873941,Baraka  [Blu-ray] [Collector's Edition],N,N,wow - aber ...,"Eigentlich ist ja alles schon gesagt, was über diese traumhafte Blu-ray zu schreiben ist. Vorgestern habe ich die Scheibe einem Filmroutinier vorgespielt und war auf seine Anmerkungen neugierig.  Zuerst staunte er, was der JVC HD1 auf die Leinwand zauberte. Da er fast alle Schauplätze des Filmes persönlich kennt, war er doppelt begeistert.   Dann zeigte er mir, was ihm - ohne zu nörgeln - auffiel: Das Ruckeln bei den Schwenks am Anfang des Filmes führte er auf ein nicht optimales Stativ zurück; besonders deutlich zu sehen am Bildrand.  Bei der Szene, in der die Derwische in einer Reihe stehen, ist die Grenze der aktuellen Elektronik erreicht: Die Gewänder saufen in der rechten  Bildhälfte im Schwarz ab, während das Fenster links überbelichtet ist. Das, so meinte er, könne der chemische Film immer noch deutlich besser.  Einige Szenen zeigen seiner Meinung nach Überlängen (z.B der Kriegstanz auf Java).  Aber dennoch ist der Film (sowohl vom Inhalt als auch von der hohen Bildqualität her) jeden Cent wert und er wird immer ein Juwel in meiner Sammlung bleiben.",2009-01-31,0,3,True
147,B003ZVJJT4,269345798,Lethal Weapon 2 - Brennpunkt L.A. [Blu-ray],N,Y,Áúch éin súpér Film,Wié schớn géságt ist  diésé Réihé séhr gút gémácht únd séhr spánnénd únd witzig zúgléich. Áúch tớllé Sprüché rúndén dás Gánzé áb.,2014-06-11,0,3,True
172,B0094J5DSC,153541457,Lego Friends 41008 - Großes Schwimmbad,N,Y,i.O.,"kám pünktlich, siéht gút áús . kindér wérdén sich fréúén. wéitér sớ. Frớhé wéihnáchtén únd stréikt schön wéitér für Éúér Géld.",2013-12-21,0,2,False
205,B00000G5WV,54157679,Load,N,N,5 ans d'attente pour un Load formidable !,"Après le dénommé black album en 1991 qui annonçait l’abandon du trash metal pour un hard rock puissant , Metallica remet le couvert en 1996 après des années de tournées incessantes. Et Load offre aux amateurs un florilège de compositions d’une lourdeur apocalyptique qui n’est pas sans rappelé  Black Sabbath dans sa première période « The Outlaw Torn ». Si le Black Album alignait quelques titres faciles d’accès,  ce Load se veut plus aventureux et confirme les qualités de compositeur du chanteur guitariste  James Hetfield, bien aidé, il est vrai par le batteur Lars Ulrich et le guitariste Kirk Hammett, Jason Newsted se contentant avec talent d’assurer un jeu de basse bien gras. Cet album est une réussite indéniable, au diable les « c’était mieux avant ! », les Four Horsemen ont eu raison de freiner le tempo,  avec Load on en prend plein les oreilles et on se délecte de la puissance des morceaux, de cette voix hargneuse, de cette rythmique d’enfer et de ces riffs et solos de guitare ravageurs !  On ne résiste pas à ce déferlement heavy metal  lourd, puissant, carré, transcendé par un son du feu du diable ! Load s’écoute toujours avec plaisir en 2013 !  j’adore ! (14 titres / 79mn)",2013-10-27,2,6,True
